_id,product_name,product_price,content,option,date,rating
6788dc29adf9449380c27084,ABC JUICE,43000,첫 라티브 시작 너무 좋아서\n60개 재구매 갑니다,[10%] ABC주스 10포,2024.1.6,5
6788dc33adf9449380c27085,ABC JUICE,43000,15일간 해*하며 다***하려 구입했어요\n주말인 토요일에 시작해서 살짝 불안하지만\n열심히 해보려고요\n쥬스는 건더기까지 있어 건강해지는 기분이지만\n살짝 특이한 맛이 조금 있지만\n그래도 참고 마셔야죠 ㅎ\n\n(2023-07-08 18:42:21 에 등록된 네이버 페이 구매평)\n리뷰 더보기,,2023.7.9,5
6788dc3dadf9449380c27086,ABC JUICE,43000,배송 정말 빨라요~~~ 휴대하며 가지고 다니기 편해서 먹기에도 편해요!\n\n(2022-05-17 15:46:57 에 등록된 네이버 페이 구매평),,2022.5.18,5
6788dc47adf9449380c27087,ABC JUICE,43000,"제입맛은, 몸에 좋아 쓴 건 극도로 거부하는 원초적인 으른이 입맛이예요\n그래서 직접 갈아먹기도, 그렇다고 무턱대고 구매하기도 겁나던 아이라 ABC쥬스는 이번이 첫경험인데요❤\n\nABC쥬스 잘못 만들면 흙맛이 난다고 들었는데\n이아이는 아니예요! 사과향이 나고 당근맛이 강한 것 같아요. 다행히도 전 당근 극호‍♀️거든요 :)\n\n매일 아침 공복홈트 후 컵에 따라 마셔주고 또 유산소를 할 에너지를 얻고있어요 :) 저 최근에 극심한 변*에 시달렸거든요ㅠ? 죽일놈의pms ㅠ 라티브abc쥬스를 마시는 동안은 토끼똥으로 시작해서 변*끝냈어요!!.... (이거 정말중요해요!! 묵직한느낌이 3주이상 지속되고있었거든요)\n\n곧 #LCD식단 해보고싶어서 재구매 30팩했어요:))\n식단 자체가 까다롭지 않은것 같아 똥식단을 지향하는 저도 자신있거든요\nLCD식단도 마치면 또 후기 남길게요 :)\n\n(2022-01-05 15:03:57 에 등록된 네이버 페이 구매평)\n리뷰 더보기",,2022.1.6,5
6788dc51adf9449380c27088,ABC JUICE,43000,샐러드 쥬스와 함께 주문했습니다~ 섬유질 들어있어 좋아요~~\n\n(2021-09-05 15:29:12 에 등록된 네이버 페이 구매평),,2021.9.6,5
6788dc5cadf9449380c27089,ABC JUICE,43000,3일차인데 효*가 확 나타나네요!!! 추천받아서 처음 마셔보는데 너무 좋아요\n\n(2021-08-22 11:09:21 에 등록된 네이버 페이 구매평),,2021.8.23,5
6788dc66adf9449380c2708a,ABC JUICE,43000,후레쉬한 재료로 만들어진 쥬스라해서 믿고 구매해봅니다.식음후에 최고라 생각되면 쭉 구매할겁니다\n\n(2021-08-06 22:45:50 에 등록된 네이버 페이 구매평),,2021.8.7,5
6788dc70adf9449380c2708b,ABC JUICE,43000,디** 해보려고 주문했어요,,2021.3.14,5
6788dc7aadf9449380c2708c,ABC JUICE,43000,시중 판매하는 abc주스 3종을 먹었는데\n가격은 좀 나가지만 여기가 제일 나아요\n출근길에 한포씩 먹고있습니다\n배송도 하루만에 왔어요\n리뷰 더보기,,2021.3.8,5
6788dc85adf9449380c2708d,ABC JUICE,43000,"ABC쥬스 만들어 먹다가 일에 치여 도저히 안되겠다싶어서 이곳저곳 ABC 쥬스라는 걸 사먹어 봤지만 갈아서 먹던 그 맛이 아니었어요. 너무 묽거나, 단맛이 더 강하거나 등등 그러다 알게된 라티브! 한번 경험해보자 싶어서 샀는데, 알갱이들이 되직하고 맛도 직접 갈아먹던 것과 비슷해서 이젠 아예 세트로 구매했네요^^ 지금처럼 이렇게 좋은 상품 쭉~ 판매해주세요! 감사합니다♡\n리뷰 더보기",,2021.3.3,5
6788dc90adf9449380c2708e,ABC JUICE,43000,포만감도 느껴지고 출출할 때 건강한 간식으로도 좋을 것 같아요!!.\n\n(2021-01-14 02:09:54 에 등록된 네이버 페이 구매평),,2021.1.15,5
